timestamp,interface,raw_tc_output
1776299379.1373436,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 883 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 883 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.1498168,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.1620023,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.174137,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.1865404,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.1993105,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.2124274,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.2246456,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.2367036,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.2489905,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.2641506,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.2791727,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.2918215,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.304584,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 449 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.3170397,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 609 bytes 6 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299379.3299289,s1-eth3,"qdisc pfifo 8003: root refcnt 7 limit 100p |  Sent 609 bytes 6 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
