timestamp,interface,raw_tc_output
1776298909.7625673,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 522 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 522 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.7753577,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.7871547,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.7991626,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.812083,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.8238654,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.8362374,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.8492317,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.8619244,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.8736067,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.8856993,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.89745,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.9094334,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.9212363,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.9329903,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.9459991,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.9586282,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.9727416,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.9850829,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298909.997049,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.0101378,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.0218327,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.0341086,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.0457704,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.0586433,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.071694,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.0836747,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.0985262,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.111052,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.1232164,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.1346698,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.1463108,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.1594315,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.1726875,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.1852696,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.1980636,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.2102258,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.222293,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.2352397,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.2469752,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.2595875,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 468 bytes 6 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.2731438,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 468 bytes 6 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.2867038,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 468 bytes 6 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.3005106,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 468 bytes 6 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.3124804,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 558 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.3245037,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 558 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.3363352,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 558 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.3484983,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 558 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.3608487,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 558 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776298910.3725855,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 100p |  Sent 558 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
