sender,flow_id,flow_size_bytes,fct_ms
h3,baseline_flow2,1000000,135.701
h4,baseline_flow3,1000000,234.09
h1,baseline_flow0,1000000,1861.702
h2,baseline_flow1,1000000,3420.069
h3,baseline_flow2,1000000,119.267
h4,baseline_flow3,1000000,211.503
h1,baseline_flow0,1000000,1859.235
h2,baseline_flow1,1000000,3413.651
