timestamp,interface,raw_tc_output
1775920263.8125765,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2343 bytes 20 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920263.9157183,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2343 bytes 20 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.0213394,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2491 bytes 22 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.1239326,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 88425 bytes 81 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.2269726,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 123247 bytes 104 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.3305256,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 176439 bytes 140 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.4335544,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 224994 bytes 173 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.536104,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 268900 bytes 202 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.638341,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 300694 bytes 223 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.7421093,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 331128 bytes 244 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.8462877,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 373520 bytes 272 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920264.948306,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 409926 bytes 297 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.0510314,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 449360 bytes 324 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.1538732,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 493531 bytes 355 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.256194,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 529867 bytes 379 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.3585765,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 572259 bytes 407 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.4616563,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 611623 bytes 433 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.5644457,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 649473 bytes 458 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.667237,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 691865 bytes 486 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.7699368,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 728267 bytes 511 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.8737016,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 761575 bytes 533 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920265.978025,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 802453 bytes 560 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920266.0810676,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 843331 bytes 587 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920266.1833692,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 879737 bytes 612 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920266.285838,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 920615 bytes 639 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920266.388287,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 958465 bytes 664 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920266.4904475,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1000857 bytes 692 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920266.5944998,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1038707 bytes 717 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
