sender,flow_id,flow_size_bytes,fct_ms
h3,baseline_flow2,1000000,123.519
h4,baseline_flow3,1000000,212.581
h2,baseline_flow1,1000000,3057.154
h1,baseline_flow0,1000000,5771.408
