sender,flow_id,flow_size_bytes,fct_ms
h3,baseline_flow2,1000000,126.341
h4,baseline_flow3,1000000,209.543
h1,baseline_flow0,1000000,3050.812
h2,baseline_flow1,1000000,5630.252
