sender,flow_id,flow_size_bytes,fct_ms
h3,baseline_flow2,1000000,113.661
h4,baseline_flow3,1000000,206.483
h1,baseline_flow0,1000000,3058.053
h2,baseline_flow1,1000000,5633.274
