timestamp,interface,raw_tc_output
1776014828.0233579,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 522 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 522 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.0356002,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 596 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 74b 1p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 596 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 74b 1p requeues 0"
1776014828.0487974,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.0608733,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.0737808,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.0866427,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1000788,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1126633,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1253176,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1384478,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1506395,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1622174,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1754596,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1876152,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.1999183,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.2118063,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.224756,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.2370694,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.2492666,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.2611446,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.2732542,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.2857702,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 670 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.2983747,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.3110187,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.3232296,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.335469,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.3487704,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 830 bytes 11 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.361452,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1010 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 90b 1p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1010 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 90b 1p requeues 0"
1776014828.3739667,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.3858654,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.398871,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.411652,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 90b 1p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1100 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 90b 1p requeues 0"
1776014828.423511,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.435782,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.4478178,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.4599648,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 107b 1p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1190 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 107b 1p requeues 0"
1776014828.472161,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.4851604,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.497777,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.5096855,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.5233943,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.5361888,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.548268,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014828.561137,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1297 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
